交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資,
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比,
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%),
5月29日,33.3,33.4,33.2,33.4,0,0,0.6,117,54,2.2,0.04,15,0,0,15,2.8,-41,757,0,0,0,0
5月28日,33.2,33.4,33.1,33.4,0.2,0.6,0.9,224,99,2.3,0.07,5,0,0,5,2.8,-37,798,0,0,0,1
5月27日,33.1,33.3,33.05,33.2,0,0,0.75,86,47,1.8,0.03,8,0,0,8,2.8,-22,835,0,0,0,0
5月26日,33.2,33.2,33.05,33.2,0,0,0.45,45,30,1.5,0.02,12,0,0,12,2.8,3,857,0,0,0,0
5月25日,33.05,33.2,33,33.2,0,0,0.6,79,30,2.6,0.03,-9,0,0,-9,2.8,38,854,0,0,0,0
5月22日,33.15,33.35,32.85,33.2,0.05,0.15,1.51,143,86,1.7,0.05,-27,0,0,-27,2.8,-13,816,0,0,0,1
5月21日,33.15,33.15,33,33.15,-0.05,-0.15,0.45,67,42,1.6,0.02,7,0,0,7,2.8,-10,829,0,0,0,0
5月20日,33.05,33.2,32.9,33.2,0.4,1.22,0.91,68,50,1.4,0.02,-4,0,0,-4,2.8,1,839,0,0,0,1
5月19日,33.2,33.35,32.8,32.8,-0.4,-1.2,1.66,339,165,2.1,0.11,14,0,-8,6,2.8,-97,838,0,0,0,0
5月18日,32.75,33.2,32.75,33.2,0,0,1.36,119,52,2.3,0.04,0,0,1,1,2.8,-19,935,0,0,0,0
5月15日,32.75,33.2,32.6,33.2,0.4,1.22,1.83,225,119,1.9,0.07,-21,0,0,-21,2.8,85,954,0,0,0,1
5月14日,33.1,33.2,32.8,32.8,-0.7,-2.09,1.19,95,81,1.2,0.03,-21,0,7,-14,2.8,3,869,0,0,0,0
5月13日,32.9,33.5,32.65,33.5,0.5,1.52,2.58,188,87,2.2,0.06,-4,0,2,-2,2.9,62,866,0,0,0,1
5月12日,33.1,33.25,32.75,33,-0.2,-0.6,1.51,212,117,1.8,0.07,-41,0,0,-41,2.9,-31,804,0,0,0,0
5月11日,33.2,33.25,33,33.2,0,0,0.75,233,120,1.9,0.08,38,0,0,38,2.9,0,835,0,0,0,0
5月8日,33.25,33.3,33,33.2,0,0,0.9,210,100,2.1,0.07,-14,0,0,-14,2.9,-51,835,0,0,0,0
5月7日,33,33.25,32.75,33.2,0.1,0.3,1.51,202,125,1.6,0.07,-13,0,0,-13,2.9,32,886,0,0,0,1
5月6日,33,33.1,32.45,33.1,0.1,0.3,1.97,371,197,1.9,0.12,-36,0,0,-36,2.9,99,854,0,0,0,1
5月5日,32.8,33,32.5,33,0.1,0.3,1.52,257,149,1.7,0.08,-23,0,0,-23,3,75,755,0,0,0,1
5月4日,32.5,32.9,32.2,32.9,0.05,0.15,2.13,142,83,1.7,0.05,-15,0,0,-15,3,76,680,0,0,0,1
4月30日,32.4,32.85,32.15,32.85,0.45,1.39,2.16,178,122,1.5,0.06,20,0,0,20,3,75,604,0,0,0,1
4月29日,31.8,32.4,31.8,32.4,0.55,1.73,1.88,173,103,1.7,0.06,8,0,0,8,3,85,529,0,0,0,1
4月28日,31.85,32,31.6,31.85,0.1,0.31,1.26,120,87,1.4,0.04,-18,0,0,-18,3,44,444,0,0,0,1
4月27日,31.6,31.8,31.5,31.75,0.15,0.47,0.95,136,81,1.7,0.04,32,0,0,32,3,-11,400,0,0,0,1
