交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
4月22日,294.5,295,290.5,294,-1,-0.34,1.53,"43,569","25,176",1.7,127.5,"-6,088",-323,-214,"-6,625",76,"1,445","24,753",-299,"1,815",7.3
4月21日,300.5,301.5,293.5,295,-9,-2.96,2.63,"61,949","39,043",1.6,184.2,"-15,656",-282,"-1,675","-17,613",76,"1,062","23,308",-224,"2,114",9.1
4月20日,308,309,302.5,304,-2.5,-0.82,2.12,"44,587","21,791",2,136.1,"-1,075",-13,-613,"-1,701",76,"1,069","22,246",-11,"2,338",10.5
4月17日,303.5,308.5,300.5,306.5,20,6.98,2.79,"117,447","60,873",1.9,357.2,"57,331","2,427",-490,"59,268",76,"-3,009","21,177",939,"2,349",11.1
4月16日,283,288.5,283,286.5,-1,-0.35,1.91,"48,257","19,084",2.5,138.1,"-6,122",301,-188,"-6,009",75.8,724,"24,186",175,"1,410",5.8
4月15日,287,288.5,286,287.5,2.5,0.88,0.88,"58,561","25,696",2.3,168.2,-587,729,"-2,037","-1,895",75.8,-207,"23,462",274,"1,235",5.3
4月14日,281,285.5,280,285,6.5,2.33,1.97,"50,197","22,214",2.3,142.7,"15,372",322,945,"16,639",75.8,-768,"23,669",230,961,4.1
4月13日,278.5,281.5,278.5,278.5,-1,-0.36,1.07,"22,197","12,809",1.7,62,"-5,653",39,"-1,194","-6,807",75.8,633,"24,437",333,731,3
4月10日,280,282,279,279.5,-3.5,-1.24,1.06,"28,207","15,833",1.8,78.9,"-3,792",-542,493,"-3,841",75.8,409,"23,804",0,398,1.7
4月9日,287.5,288,282.5,283,-2,-0.7,1.93,"29,276","15,271",1.9,83.5,"4,812",-123,-188,"4,501",75.8,-891,"23,395",398,398,1.7
4月8日,285,285.5,283,285,2,0.71,0.88,"38,699","19,126",2,110.2,"8,738","1,213","-1,109","8,842",75.8,-380,"24,286",0,0,0
4月7日,283.5,284,280.5,283,7.5,2.72,1.27,"48,887","24,281",2,138.2,"21,623",205,-254,"21,574",75.8,"-1,619","24,666",0,0,0
4月6日,273,275.5,270,275.5,4,1.47,2.03,"59,713","19,971",3,163.2,"4,555",-558,"1,389","5,386",75.7,637,"26,285",-24,0,0
4月1日,276.5,276.5,271.5,271.5,-2.5,-0.91,1.82,"47,572","19,580",2.4,130.2,"2,247",661,"-1,033","1,876",75.7,611,"25,648","-1,951",24,0.09
3月31日,273,274,269.5,274,6.5,2.43,1.68,"53,902","20,343",2.6,147.1,"9,587",208,"-1,587","8,208",75.7,"-1,273","25,037",68,"1,977",7.9
3月30日,263.5,269,262.5,267.5,-5.5,-2.01,2.38,"53,404","27,779",1.9,142.1,"-11,924",-731,-12,"-12,667",75.6,"1,103","26,310",-337,"1,909",7.3
3月27日,284,286,273,273,-7,-2.5,4.64,"69,320","36,025",1.9,193.2,"-5,230",-452,"-2,113","-7,795",75.7,855,"25,207",-775,"2,246",8.9
3月26日,279.5,280,275.5,280,3,1.08,1.62,"54,190","27,648",2,151.1,"20,210",-11,-694,"19,505",75.7,"-1,501","24,352",346,"3,021",12.4
3月25日,276.5,280,274,277,9.5,3.55,2.24,"80,514","40,932",2,223.7,"11,871",54,"-3,188","8,737",75.6,"-2,148","25,853",186,"2,675",10.3
3月24日,268,274,266,267.5,12.5,4.9,3.14,"82,378","41,077",2,222.1,"17,391",-14,-404,"16,973",75.6,"-2,160","28,001",277,"2,489",8.9
