時間,開盤價,最高價,最低價,收盤價,UB2.00,BBandMA16,LB2.00,外資持股,買賣超,投信持股,買賣超,成交量,MA5,MA10,主力持股,買賣超,,
2019-12-12,45.95,45.95,42.85,44,45.74,40.37,35,81,11,0,0,394,506,272,-254,-64,,
2019-12-13,44,44,42.2,42.2,45.96,40.57,35.17,82,1,0,0,126,522,283,-256,-2,,
2019-12-16,42.95,46.4,42.55,46.4,47.05,41.02,35,71,-11,0,0,450,557,324,-227,29,,
2019-12-17,47.5,47.9,46.4,47.15,48.15,41.51,34.87,48,-23,0,0,420,549,361,-200,27,,
2019-12-18,47.2,47.4,45.8,46.85,48.99,41.97,34.96,52,4,0,0,109,300,367,-187,13,,
2019-12-19,46.85,48,45.8,45.8,49.49,42.37,35.26,50,-2,0,0,124,246,376,-177,10,,
2019-12-20,46.1,46.35,45.7,45.75,49.87,42.79,35.71,53,3,0,0,58,232,377,-177,0,,
2019-12-23,46.2,50.3,46.2,48.1,50.58,43.36,36.14,72,19,0,0,846,311,434,-130,47,,1
2019-12-24,48,48.35,47.4,48.1,51.12,43.93,36.75,71,-1,0,0,89,245,397,-130,0,,1
2019-12-25,46.4,49.2,46.4,48.95,51.59,44.58,37.57,71,0,0,0,204,264,282,-110,20,,1
2019-12-26,48.5,48.9,48,48,51.5,45.2,38.9,73,2,0,0,66,253,249,-116,-6,,1
2019-12-27,48,48.7,47.8,48.4,51.22,45.83,40.43,77,4,0,0,122,265,249,-121,-5,,1
2019-12-30,50.4,53.2,50.2,50.8,51.03,46.59,42.16,48,-29,0,0,984,293,302,-177,-56,,1
2019-12-31,50.5,53.6,50.5,51.5,51.64,47.16,42.69,24,-24,0,0,375,350,298,-213,-36,,1
2020-1-2,51.6,52.1,50.6,51.1,52.29,47.44,42.6,24,0,0,0,161,342,303,-234,-21,,1
2020-1-3,51.1,51.5,50.4,50.8,52.79,47.74,42.7,46,22,0,0,209,370,311,-226,8,,1
2020-1-6,50.9,50.9,49.5,49.8,52.85,48.11,43.37,45,-1,0,0,94,365,315,-235,-9,,1
2020-1-7,50.2,50.2,48.3,48.6,52.13,48.51,44.88,62,17,0,0,100,188,240,-246,-11,,1
2020-1-8,48.5,48.6,47.6,47.7,52.08,48.59,45.1,66,4,0,0,55,124,237,-246,0,,1
2020-1-9,48.5,52.1,48,51.7,52.58,48.87,45.16,75,9,0,0,206,133,237,-234,12,,1
2020-1-10,51,51.6,50.5,50.5,52.73,49.1,45.47,70,-5,0,0,216,134,252,-228,6,,1
2020-1-13,51.2,55.5,50.5,53.4,53.34,49.58,45.81,94,24,0,0,1187,353,359,-206,22,,1
2020-1-14,52.5,55,52.4,54,53.88,50.09,46.3,94,0,0,0,263,385,287,-216,-10,,0
2020-1-15,54,54.5,52.5,53,54.29,50.4,46.51,88,-6,0,0,144,403,264,-246,-30,,0
2020-1-16,53.1,54.5,51.4,51.4,54.33,50.6,46.88,83,-5,0,0,296,421,277,-302,-56,,0
2020-1-17,51.6,52.1,50.7,51.1,54.37,50.74,47.11,87,4,0,0,170,412,273,-343,-41,,0
2020-1-20,51.4,51.7,50.7,50.7,54.25,50.91,47.56,83,-4,0,0,174,209,281,-351,-8,,0
2020-1-30,48.6,48.6,45.65,45.8,54.75,50.74,46.74,101,18,0,0,364,230,308,-357,-6,,0
2020-1-31,46.05,48.5,46.05,47.1,54.89,50.51,46.14,105,4,0,0,205,242,323,-365,-8,,0
2020-2-3,45.5,48.5,44.5,47.95,54.8,50.29,45.78,117,12,0,0,188,220,321,-369,-4,,1
2020-2-4,49.1,52.7,48.7,52.7,55.04,50.39,45.74,95,-22,0,0,638,314,363,-242,127,,1
2020-2-5,51.6,55,51.1,52.4,55.24,50.49,45.74,60,-37,0,0,415,362,286,-248,-6,,1
2020-2-6,52.5,54.6,52.4,53.9,55.75,50.75,45.74,66,6,0,0,415,372,301,-220,28,,1
2020-2-7,54,54,52.3,52.5,55.93,50.99,46.05,46,-20,0,0,161,363,303,-245,-25,,1
2020-2-10,51.6,52.8,49.65,50.2,55.81,51.15,46.48,45,-1,0,0,193,364,292,-266,-21,,1
2020-2-11,55,55,53.2,53.5,56.06,51.26,46.46,51,6,0,0,1091,455,384,-342,-76,,1
2020-2-12,53.9,58.7,53.7,58,57.51,51.73,45.95,74,-23,0,0,1673,707,534,-414,-72,,1
2020-2-13,57.7,59.6,56.7,57,58.23,51.95,45.67,34,-40,0,0,1227,869,621,-515,-101,,1
2020-2-14,56.7,61.3,56.5,59.5,59.52,52.3,45.08,78,24,0,0,1625,1162,763,-431,84,,1
2020-2-17,58.8,60.4,58,60.2,60.92,52.75,44.57,86,8,0,0,608,1245,805,-439,-8,,1
2020-2-18,60.5,65.4,60,60,62.14,53.28,44.43,66,-24,0,0,2473,1521,988,-519,-80,,1
2020-2-19,60.8,62.4,58.6,58.6,62.88,53.75,44.62,71,5,0,0,1117,1410,1058,-606,-87,,1
2020-2-20,58.9,61.9,58.9,60.8,63.97,54.38,44.8,68,-3,0,0,781,1321,1095,-550,56,,1
2020-2-21,61.2,62.1,60.7,61.4,64.41,55.36,46.31,80,-9,0,0,550,1106,1134,-494,56,,1
2020-2-24,61.3,62.5,60.2,62.5,64.92,56.32,47.72,135,55,0,0,526,1089,1167,-440,54,,1
2020-2-25,61.9,66.1,61.2,64.1,65.54,57.33,49.12,105,-20,0,0,1873,969,1245,-454,-14,,1
2020-2-26,64.6,67.9,64.5,65.5,66.86,58.13,49.4,72,-33,0,0,2168,1180,1295,-542,-88,,1
2020-2-27,66.4,68.6,61.3,63.1,67.31,58.8,50.29,69,-2,0,0,2319,1487,1404,-516,26,,1
2020-3-2,62.5,67,62,66.6,68.49,59.59,50.7,159,82,0,0,1547,1687,1396,-385,131,,1
2020-3-3,68.4,70.2,66.6,67.4,69.37,60.53,51.68,89,-83,0,0,2017,1985,1537,-431,-46,,1
2020-3-4,67.8,70.9,67.5,70.5,70.16,61.79,53.43,124,35,0,0,1770,1964,1467,-307,124,,1
2020-3-5,72,77.5,72,77.5,73.57,63.29,53.02,139,-34,0,0,4088,2348,1764,-28,279,,0
2020-3-6,77.2,81.4,75.2,75.2,75.74,64.37,53,33,-105,0,0,4467,2778,2133,-277,-249,,0
2020-3-9,74,77.5,73.6,74.3,77.1,65.45,53.8,69,6,0,0,2125,2893,2290,-168,109,,0
2020-3-10,72.8,75.1,70.3,72.5,77.95,66.26,54.57,73,4,0,0,1644,2819,2402,-135,33,,0
2020-3-11,74.5,75.5,72.3,72.7,78.68,67.04,55.41,56,-29,0,0,959,2657,2310,-46,89,,0
2020-3-12,72.7,74.6,65.5,65.5,78.48,67.39,56.29,62,6,0,0,1809,2201,2275,-224,-178,,0
2020-3-13,59,61.2,59,60.4,78.27,67.5,56.73,133,71,0,0,1110,1529,2154,-279,-55,,0
2020-3-16,60.4,62.7,55.5,56.1,78.91,67.21,55.51,162,39,0,0,1108,1326,2110,-301,-22,,0
2020-3-17,53.6,57,52.1,55.6,79.56,66.84,54.13,355,193,0,0,910,1179,1999,-202,99,,0
2020-3-18,57.5,59.2,52.3,52.3,80.63,66.21,51.78,180,-175,0,0,826,1153,1905,-291,-89,,0
2020-3-19,52.2,52.2,47.1,47.1,82.28,65.14,48,297,117,0,0,793,949,1575,-391,-100,,0
2020-3-20,47.5,51.8,47.2,51.8,82.6,64.29,45.98,299,12,0,0,1003,928,1229,-354,37,,0
2020-3-23,47,49,46.65,46.65,83.47,63.26,43.05,303,4,0,0,484,803,1065,-562,-208,,0
2020-3-24,46.65,49.2,46.3,46.85,83.63,62.03,40.42,200,-73,0,0,1038,829,1004,-659,-97,,1
2020-3-25,49.45,51.5,48,48.85,83.18,60.87,38.56,159,-41,0,0,1060,876,1014,-664,-5,,1
2020-3-26,48.9,53.7,48.9,53.7,81.79,59.82,37.84,103,-59,0,0,1539,1025,987,-520,144,,1
2020-3-27,56.5,59,55.5,58.3,78.61,58.62,38.63,129,1,0,0,1761,1176,1052,-556,-36,,1
2020-3-30,56.5,63.6,56.2,62,75.98,57.79,39.6,105,-25,0,0,2579,1595,1199,-631,-75,,1
2020-3-31,63,67,62,63.4,73.51,57.11,40.71,87,-18,935,950,4953,2378,1604,-335,296,,1
2020-4-1,66.6,67.2,61.6,61.8,71.05,56.44,41.83,88,0,935,0,4074,2981,1928,-572,-237,,1
