時間,開盤價,最高價,最低價,收盤價,UB2.00,BBandMA16,LB2.00,外資持股,買賣超,投信持股,買賣超,成交量,MA5,MA10,主力持股,買賣超
2019-12-17,77,77.5,76.7,76.9,80.28,77.75,75.22,3487,6,893,0,173,576,514,822,9
2019-12-18,77,77.6,77,77.3,80.21,77.69,75.17,3510,23,893,0,135,406,488,832,10
2019-12-19,78.5,78.8,77.7,78.1,80.21,77.69,75.17,3537,59,893,0,278,310,475,858,26
2019-12-20,78.7,79.8,77.3,77.8,80.23,77.73,75.22,3485,-54,893,0,540,298,476,877,19
2019-12-23,77.9,78,76.6,76.7,80.04,77.82,75.6,3389,-86,893,0,254,276,448,783,-94
2019-12-24,76.7,76.7,75.7,76.1,79.98,77.84,75.71,3334,-55,893,0,217,285,430,710,-73
2019-12-25,76.2,77,76.1,76.7,79.99,77.79,75.59,3353,19,893,0,188,295,351,690,-20
2019-12-26,76.9,77.1,76.3,76.4,80.02,77.74,75.45,3323,-28,892,0,216,283,297,679,-11
2019-12-27,76.8,76.8,76,76,80.05,77.62,75.19,3296,-28,892,0,352,245,272,582,-97
2019-12-30,76.5,76.5,74.8,75.4,79.94,77.39,74.85,3291,-5,892,0,308,256,266,514,-68
2019-12-31,75.9,75.9,75.5,75.5,79.73,77.18,74.62,3289,-2,896,0,90,231,258,514,0
2020-1-2,76,78.7,76,77.8,79.32,77.06,74.8,3295,-3,896,0,697,333,314,524,10
2020-1-3,78.8,79.4,77.2,78,78.99,76.98,74.97,3260,-52,964,68,726,435,359,504,-20
2020-1-6,77,78.8,77,78.7,78.8,76.94,75.09,3454,206,1033,69,645,493,369,677,173
2020-1-7,79.1,79.9,78.1,78.3,78.99,77.02,75.05,3438,-15,1033,0,1037,639,448,788,111
2020-1-8,78.5,80.4,78,79.8,79.59,77.22,74.85,3655,226,1033,0,1237,868,550,1082,294
2020-1-9,79.8,81.6,78.7,79.1,79.88,77.36,74.83,3641,-26,1033,0,1210,971,652,1160,78
2020-1-10,78.8,80.8,77.2,80.4,80.47,77.55,74.63,4038,400,1033,0,942,1014,724,1448,288
2020-1-13,80.4,80.4,79.1,79.5,80.7,77.64,74.57,4155,117,1033,0,560,997,745,1482,34
2020-1-14,79.8,81.1,78.7,79,80.85,77.71,74.58,4183,32,1033,0,771,944,792,1501,19
2020-1-15,79.5,82.8,79.2,82.8,82.03,78.09,74.16,4479,300,1033,0,1751,1047,958,1873,372
2020-1-16,85,87.8,81.2,81.2,82.47,78.41,74.35,3854,-632,1084,51,4878,1780,1376,1374,-499
2020-1-17,81.2,83.3,80.8,82.8,83.26,78.79,74.32,4396,539,1076,-8,1102,1812,1413,1773,399
2020-1-20,82.8,84.6,82.3,84.3,84.3,79.29,74.27,4560,164,1148,72,876,1876,1436,1975,202
2020-1-30,79,82.9,78.6,81.7,84.48,79.64,74.81,5061,501,1598,450,2019,2125,1535,2679,704
2020-1-31,85,89.8,83.4,89.8,86.98,80.54,74.11,5437,364,1731,133,5895,2954,2000,3181,502
2020-2-3,89.8,95.6,87.5,92,89.55,81.58,73.6,4921,-639,2771,1040,7912,3561,2671,3185,4
2020-2-4,95,97.5,92.7,95.7,92.94,82.69,72.45,5256,289,2871,100,5177,4376,3094,3795,610
2020-2-5,96.5,104.5,93.7,102.5,97.94,84.23,70.51,5745,412,3553,682,7396,5680,3778,4709,914
2020-2-6,101.5,110,101.5,109,104,86.12,68.24,6250,414,3685,132,6758,6628,4376,4805,96
2020-2-7,108,113.5,104.5,107.5,108.08,87.94,67.81,6683,408,3649,-36,7394,6927,4941,5011,206
2020-2-10,110.5,113,106,107,111.28,89.64,68.01,6424,-276,3611,-38,6877,6720,5141,4854,-157
2020-2-11,109,110.5,107,110.5,114.7,91.61,68.51,6814,394,3482,-129,3090,6303,5339,5166,312
2020-2-12,110.5,112,107.5,108,116.94,93.33,69.72,6653,-160,3192,-290,3490,5522,5601,4887,-279
2020-2-13,108,114,106.5,107.5,118.48,95.08,71.68,7112,476,2899,-293,5665,5303,5965,5039,152
2020-2-14,107.5,118,107,118,121.82,97.52,73.22,7474,466,2817,-82,7284,5281,6104,6793,1754
2020-2-17,119,122.5,116,120.5,125.29,99.88,74.46,6249,-1270,2817,0,11259,6158,6439,5027,-1766
2020-2-18,117.5,118,108.5,108.5,125.37,101.58,77.79,5253,-914,2743,-74,6198,6779,6541,3949,-1078
2020-2-19,108.5,109,103.5,105.5,124.76,103,81.24,5487,223,1895,-848,5490,7179,6351,3519,-430
2020-2-20,107.5,113.5,106,110.5,124.37,104.64,84.91,6077,589,1895,0,5951,7236,6270,4065,546
2020-2-21,109,111.5,104.5,107,122,106.22,90.43,6639,562,1795,-100,3711,6522,5902,3755,-310
